,Name,Y0,X0,Y1,X1,Confidence,Class
206,r_021_02,10,3,119,57,1.00,single
207,r_021_03,0,10,125,57,1.00,single
208,r_021_04,27,22,106,75,0.99,single
209,r_021_05,1,3,132,75,1.00,single
210,r_021_06,0,3,124,66,1.00,single
211,r_021_07,4,8,128,74,1.00,single
212,r_021_08,3,0,125,77,1.00,single
213,r_021_09,3,2,120,76,1.00,single
214,r_021_10,2,4,128,80,1.00,single
215,r_021_11,1,0,133,78,1.00,single
216,r_021_12,0,1,122,89,1.00,single
217,r_021_13,3,1,126,65,1.00,single
218,r_021_14,8,6,106,88,1.00,single
219,r_021_15,10,6,130,62,1.00,single
220,r_021_16,24,6,124,67,0.88,single
221,r_021_17,2,5,125,73,1.00,single
222,r_021_18,3,6,132,77,1.00,single
223,r_021_19,5,5,119,72,1.00,single
224,r_021_20,12,9,104,89,1.00,single
225,r_021_21,5,2,133,69,1.00,single
226,r_021_22,3,6,123,85,1.00,single
227,r_022_01,5,4,119,63,1.00,single
228,r_022_02,2,0,105,93,1.00,single
229,r_022_03,5,2,117,84,1.00,single
230,r_022_04,0,6,121,51,1.00,single
231,r_022_05,12,9,112,52,1.00,single
232,r_022_06,6,8,105,71,1.00,single
233,r_022_07,0,6,115,58,1.00,single
234,r_022_08,0,15,129,58,1.00,single
235,r_022_09,3,21,102,51,0.96,single
236,r_022_10,5,8,107,89,1.00,single
237,r_022_11,7,2,118,69,1.00,single
238,r_022_12,0,12,124,66,0.90,single
239,r_023_01,2,4,118,93,1.00,single
240,r_023_02,7,10,108,80,1.00,single
241,r_023_03,0,8,132,67,1.00,single
242,r_023_04,6,10,133,58,1.00,single
243,r_023_05,7,7,114,81,1.00,single
244,r_023_06,11,2,118,58,1.00,single
245,r_023_07,3,13,114,68,1.00,single
246,r_023_08,1,1,133,71,1.00,single
247,r_023_09,0,7,133,61,1.00,single
248,r_023_10,5,2,128,69,1.00,single
249,r_023_11,2,8,133,69,1.00,single
250,r_023_12,5,12,129,57,1.00,single
251,r_023_13,5,5,127,64,1.00,single
252,r_023_14,3,2,122,97,1.00,single
253,r_023_15,0,8,131,62,1.00,single
254,r_023_16,7,6,131,50,1.00,single
255,r_024_01,4,6,121,60,1.00,single
256,r_024_02,1,4,122,57,1.00,single
257,r_024_03,5,11,114,69,1.00,single
258,r_024_04,4,10,119,66,1.00,single
259,r_024_05,0,10,124,85,1.00,single
260,r_024_06,7,17,104,79,1.00,single
261,r_024_07,2,8,104,65,1.00,single
262,r_024_08,14,38,111,84,0.98,single
263,r_024_09,0,9,124,79,1.00,single
264,r_024_10,10,14,113,68,1.00,single
265,r_024_11,13,13,115,77,1.00,single
266,r_024_12,0,12,124,59,1.00,single
267,r_024_13,5,9,115,69,1.00,single
268,r_024_14,6,8,121,67,1.00,single
269,r_024_15,0,19,113,86,1.00,single
270,r_024_16,1,8,122,100,1.00,single
271,r_024_17,4,0,122,90,1.00,single
272,r_024_18,2,7,123,74,1.00,single
273,r_024_19,5,5,126,105,1.00,single
274,r_025_01,6,0,96,122,1.00,single
275,r_025_02,11,5,108,112,1.00,single
276,r_025_03,0,15,120,125,1.00,single
277,r_025_04,14,0,88,117,1.00,single
278,r_025_05,10,0,102,116,1.00,single
279,r_025_06,8,37,98,112,1.00,single
280,r_025_07,14,8,109,107,1.00,single
281,r_025_08,0,2,103,118,1.00,single
282,r_025_09,3,4,101,111,1.00,single
283,r_025_10,6,3,98,122,1.00,single
284,r_026_01,9,10,88,98,1.00,single
285,r_026_02,3,2,103,99,1.00,single
286,r_026_03,5,0,95,108,1.00,single
287,r_026_04,10,0,101,93,1.00,single
288,r_026_05,9,2,116,95,1.00,single
289,r_026_06,0,3,80,95,1.00,single
290,r_026_07,2,1,113,104,1.00,single
291,r_026_08,5,6,89,85,1.00,single
292,r_026_09,9,5,90,98,1.00,single
293,r_026_10,6,15,79,95,1.00,single
294,r_026_11,6,7,89,110,1.00,single
295,r_026_12,10,2,102,96,1.00,single
296,r_026_13,4,0,120,82,1.00,single
297,r_026_14,5,3,91,107,1.00,single
298,r_026_15,13,13,91,99,1.00,single
299,r_026_16,0,2,117,88,1.00,single
300,r_026_17,2,0,90,103,1.00,single
301,r_026_18,0,7,105,80,1.00,single
302,r_026_19,4,1,99,88,1.00,single
303,r_026_20,0,0,82,101,1.00,single
304,r_026_21,3,1,116,87,1.00,single
305,r_026_22,0,10,96,109,1.00,single
306,r_026_23,7,7,105,83,1.00,single
307,r_026_24,2,10,92,108,1.00,single
308,r_026_25,15,9,99,91,1.00,single
309,r_026_26,1,13,93,103,1.00,single
310,r_029_01,4,8,118,72,1.00,single
311,r_029_02,0,2,126,91,1.00,single
312,r_029_03,5,4,122,96,1.00,single
313,r_029_04,3,0,122,99,1.00,single
314,r_029_05,5,4,121,92,1.00,single
315,r_029_06,7,13,122,79,1.00,single
316,r_029_07,6,14,123,87,1.00,single
317,r_029_08,0,5,128,92,1.00,single
318,r_029_09,4,4,126,92,1.00,single
319,r_029_10,0,16,121,83,1.00,single
320,r_029_11,1,13,126,66,1.00,single
321,r_029_12,0,3,120,58,1.00,single
322,r_029_13,2,4,102,97,1.00,single
323,r_029_14,4,0,142,81,1.00,single
324,r_029_15,5,0,118,98,1.00,single
325,r_029_16,1,4,124,94,1.00,single
326,r_029_17,0,6,126,95,1.00,single
327,r_030_01,1,0,128,85,1.00,single
328,r_030_02,3,3,126,75,1.00,single
329,r_030_03,0,1,121,88,1.00,single
330,r_030_04,3,0,124,81,1.00,single
331,r_030_05,28,0,113,84,0.83,single
332,r_030_06,4,1,133,68,1.00,single
333,r_030_07,0,2,127,42,1.00,single
334,r_030_08,2,9,126,76,1.00,single
335,r_030_09,1,10,132,71,1.00,single
336,r_030_10,5,0,93,88,1.00,single
337,r_030_11,1,0,130,75,1.00,single
338,r_030_12,4,0,122,67,1.00,single
339,r_031_01,0,0,107,72,1.00,single
340,r_031_02,2,18,119,66,1.00,single
341,r_031_03,3,18,124,66,1.00,single
342,r_031_04,0,15,122,69,1.00,single
343,r_031_05,3,13,134,58,1.00,single
344,r_031_06,5,1,119,59,1.00,single
345,r_031_07,14,23,106,60,1.00,single
346,r_032_01,0,3,126,47,1.00,single
347,r_032_02,6,9,121,57,0.99,single
348,r_032_03,6,5,121,75,1.00,single
349,r_032_04,0,6,122,53,1.00,single
350,r_032_05,1,1,130,60,1.00,single
351,r_032_06,5,4,120,82,1.00,single
352,r_032_07,6,13,129,59,1.00,single
353,r_032_08,1,3,126,60,1.00,single
354,r_032_09,0,10,125,67,1.00,single
355,r_032_10,0,0,103,72,1.00,single
356,r_032_11,0,4,125,76,1.00,single
357,r_032_12,2,0,123,45,1.00,single
358,r_032_13,2,9,120,55,1.00,single
359,r_032_14,1,0,131,66,1.00,single
360,r_032_15,7,1,116,56,1.00,single
361,r_032_16,1,8,128,64,1.00,single
362,r_032_17,1,5,124,62,1.00,single
363,r_032_18,10,10,114,68,1.00,single
364,r_035_01,8,6,118,93,1.00,single
365,r_035_02,5,3,124,53,0.99,single
366,r_035_03,2,0,124,69,1.00,single
367,r_035_04,0,0,99,37,0.99,single
368,r_036_01,12,1,92,100,1.00,single
369,r_036_02,6,6,101,88,1.00,single
370,r_036_03,3,1,118,68,1.00,single
371,r_036_04,5,3,121,72,1.00,single
372,r_036_05,9,9,119,74,1.00,single
373,r_036_06,7,3,104,78,1.00,single
374,r_037_01,7,4,113,94,1.00,single
375,r_037_02,12,2,110,68,1.00,single
376,r_037_03,4,13,108,87,1.00,single
377,r_037_04,5,0,128,78,1.00,single
378,r_037_05,16,10,123,58,0.99,single
379,r_039_01,5,0,119,65,1.00,single
380,r_039_02,8,0,126,51,1.00,single
381,r_039_03,1,8,124,94,0.98,single
382,r_039_04,11,9,112,70,0.97,single
383,r_039_05,8,4,127,74,0.99,single
384,r_039_06,1,8,130,53,1.00,single
385,r_039_07,6,7,124,69,1.00,single
386,r_039_08,0,3,124,81,1.00,single
387,r_039_09,0,0,133,56,1.00,single
388,r_039_10,5,2,115,79,0.99,single
389,r_040_01,8,0,120,74,1.00,single
390,r_040_03,0,16,125,67,0.94,single
391,r_040_04,12,12,110,49,0.79,single
392,r_040_05,23,0,129,56,0.99,single
393,r_040_06,6,15,110,84,1.00,single
394,r_040_07,3,3,122,49,1.00,single
395,r_040_08,6,3,117,96,1.00,single
396,r_040_09,8,0,120,71,1.00,single
397,r_040_10,5,4,122,74,1.00,single
398,r_040_11,4,8,118,66,1.00,single
399,r_040_12,3,3,127,47,1.00,single
400,r_040_13,5,1,130,61,1.00,single
401,r_040_14,4,5,118,79,1.00,single
402,r_040_15,9,0,125,60,1.00,single
403,r_040_16,0,4,115,101,1.00,single
404,r_040_17,3,0,124,46,1.00,single
405,r_041_01,7,14,100,102,1.00,single
406,r_041_02,0,10,124,59,1.00,single
407,r_041_03,13,15,118,75,1.00,single
408,r_041_04,11,0,99,88,1.00,single
409,r_041_05,10,5,124,85,1.00,single
410,r_041_06,8,14,97,110,1.00,single
411,r_041_07,5,5,127,65,1.00,single
412,r_041_08,8,0,121,97,1.00,single
413,r_041_09,3,0,117,101,0.99,single
414,r_041_10,26,13,112,71,1.00,single
415,r_041_11,9,7,109,89,1.00,single
416,r_041_12,13,9,108,87,1.00,single
417,r_041_13,6,11,118,89,1.00,single
418,r_041_14,14,9,118,78,1.00,single
419,r_041_15,12,11,103,83,1.00,single
420,r_043_01,2,0,125,49,1.00,single
421,r_043_02,15,18,109,90,1.00,single
422,r_043_03,10,3,112,82,1.00,single
423,r_043_04,0,4,125,62,1.00,single
424,r_043_05,0,6,125,59,1.00,single
425,r_043_06,6,6,119,88,1.00,single
426,r_043_07,0,2,125,79,0.99,single
427,r_043_08,0,5,108,68,1.00,single
428,r_043_09,0,4,110,81,1.00,single
429,r_043_10,2,14,102,103,1.00,single
430,r_043_11,4,4,115,79,1.00,single
431,r_043_12,0,2,115,86,1.00,single
432,r_043_13,27,10,125,59,0.99,single
433,r_043_14,4,3,124,78,1.00,single
434,r_043_15,0,14,121,81,1.00,single
435,r_043_16,0,3,125,73,1.00,single
436,r_044_01,0,18,122,55,0.85,single
437,r_044_02,4,10,120,56,1.00,single
438,r_044_03,3,13,114,56,0.76,single
439,r_044_04,8,8,122,62,1.00,single
440,r_044_05,1,5,132,47,1.00,single
441,r_044_06,5,7,107,65,1.00,single
442,r_044_07,1,11,115,53,0.99,single
443,r_044_08,10,2,110,78,1.00,single
444,r_044_09,3,8,120,53,1.00,single
445,r_044_10,8,8,126,40,0.99,single
446,r_044_11,11,10,120,63,0.99,single
447,r_044_12,5,6,124,47,0.99,single
448,r_044_13,12,21,124,64,0.94,single
449,r_044_14,7,13,117,81,1.00,single
450,r_044_15,11,5,113,71,1.00,single
451,r_046_01,10,16,128,74,1.00,single
452,r_046_02,10,2,117,92,1.00,single
453,r_046_03,5,5,116,89,1.00,single
454,r_046_04,13,0,117,108,1.00,single
455,r_046_05,4,3,88,126,1.00,single
456,r_046_06,19,15,103,105,1.00,single
457,r_046_07,5,5,114,80,1.00,single
458,r_046_08,5,4,123,65,1.00,single
459,r_046_09,2,7,128,82,0.99,single
460,r_046_10,14,7,124,104,1.00,single
461,r_046_11,6,3,116,66,1.00,single
462,r_046_12,4,0,118,63,1.00,single
463,r_046_13,0,4,118,55,0.99,single
464,r_046_14,0,4,127,70,1.00,single
465,r_046_15,0,6,128,58,1.00,single
466,r_047_01,21,38,67,90,1.00,single
467,r_047_02,8,0,71,106,0.99,single
468,r_047_03,22,21,74,95,0.96,single
469,r_047_04,19,4,71,75,0.99,single
470,r_047_05,16,11,86,104,0.98,single
471,r_047_06,9,20,79,103,1.00,single
472,r_047_07,8,1,72,99,1.00,single
473,r_047_08,5,12,64,95,0.98,single
474,r_047_09,14,15,73,99,1.00,single
475,r_047_10,8,14,76,88,0.99,single
476,r_047_12,8,11,58,118,1.00,single
477,r_049_01,2,8,118,73,1.00,single
478,r_049_02,6,0,116,76,1.00,single
479,r_049_03,2,4,99,114,1.00,single
480,r_049_04,3,4,113,81,1.00,single
481,r_049_05,4,13,117,70,1.00,single
482,r_049_06,10,7,89,72,1.00,single
483,r_049_07,0,12,122,63,1.00,single
484,r_049_08,5,13,118,97,1.00,single
485,r_049_09,1,2,120,85,1.00,single
486,r_049_10,1,4,121,67,1.00,single
487,r_049_11,5,9,113,88,1.00,single
488,r_049_12,4,2,121,59,1.00,single
489,r_049_13,0,8,123,78,1.00,single
490,r_049_14,11,1,125,81,1.00,single
491,r_049_15,2,1,119,80,1.00,single
492,r_049_16,5,3,113,90,1.00,single
493,r_049_17,8,7,113,74,1.00,single
494,r_049_18,2,13,102,85,1.00,single
495,r_049_19,0,3,122,94,1.00,single
496,r_049_20,4,9,115,69,1.00,single
497,r_049_21,0,18,125,72,1.00,single
498,r_049_22,2,3,132,55,1.00,single
499,r_049_23,2,0,123,93,1.00,single
500,r_049_24,0,5,123,91,1.00,single
501,r_049_25,0,5,122,54,1.00,single
502,r_049_26,10,6,116,78,1.00,single
503,r_049_27,5,3,119,93,1.00,single
504,r_049_28,4,5,122,92,1.00,single
505,r_051_01,2,0,125,81,1.00,single
506,r_051_02,8,12,105,97,1.00,single
507,r_051_03,7,0,61,124,1.00,single
508,r_051_04,7,3,121,90,1.00,single
509,r_051_05,10,4,93,97,1.00,single
510,r_051_06,3,11,94,98,1.00,single
511,r_051_07,11,9,71,118,1.00,single
512,r_051_08,4,0,105,113,1.00,single
513,r_051_09,10,11,116,85,1.00,single
514,r_051_10,5,6,105,103,1.00,single
515,r_051_11,13,7,98,95,1.00,single
516,r_051_12,5,7,120,93,1.00,single
517,r_051_13,4,12,115,82,1.00,single
518,r_051_14,12,9,117,76,1.00,single
519,r_051_15,14,13,103,92,0.97,single
520,r_052_01,4,7,118,86,1.00,single
521,r_052_02,10,1,93,105,1.00,single
522,r_052_03,0,2,101,102,1.00,single
523,r_052_04,2,0,125,83,1.00,single
524,r_052_05,6,9,115,83,1.00,single
525,r_052_06,2,12,109,92,1.00,single
526,r_052_07,11,13,109,114,1.00,single
527,r_052_08,5,5,104,107,1.00,single
528,r_052_09,3,1,104,97,1.00,single
529,r_052_10,0,0,84,119,1.00,single
530,r_052_11,8,12,106,116,1.00,single
531,r_052_12,0,0,118,104,1.00,single
532,r_053_01,6,15,93,95,1.00,single
533,r_053_02,5,3,97,66,1.00,single
534,r_053_03,2,5,94,78,1.00,single
535,r_053_04,9,16,93,99,1.00,single
536,r_053_05,4,6,97,87,1.00,single
537,r_053_06,6,0,86,102,1.00,single
538,r_053_07,2,9,83,102,1.00,single
539,r_053_08,3,2,101,72,1.00,single
540,r_053_09,0,5,90,60,1.00,single
541,r_053_10,7,14,108,65,0.99,single
542,r_054_01,0,1,110,83,1.00,single
543,r_054_02,0,3,92,71,1.00,single
544,r_054_03,2,1,109,79,1.00,single
545,r_054_04,0,1,106,76,1.00,single
546,r_054_05,1,5,101,70,1.00,single
547,r_055_01,0,8,132,68,1.00,single
548,r_055_02,6,3,124,104,1.00,single
549,r_055_03,0,11,127,89,1.00,single
550,r_055_04,2,2,118,95,1.00,single
551,r_055_05,0,1,121,106,1.00,single
552,r_055_06,3,5,125,116,1.00,single
553,r_055_07,0,1,122,102,1.00,single
554,r_055_08,0,0,111,108,1.00,single
555,r_055_10,7,1,115,92,1.00,single
556,r_055_11,0,5,124,103,1.00,single
557,r_055_12,0,5,121,97,1.00,single
558,r_055_13,2,0,122,109,1.00,single
559,r_055_14,0,0,121,83,1.00,single
560,r_055_15,3,1,116,106,1.00,single
561,r_055_16,1,3,123,80,1.00,single
562,r_055_17,0,7,124,94,1.00,single
563,r_055_18,1,7,123,96,1.00,single
564,r_055_19,2,1,124,104,1.00,single
565,r_055_20,6,3,108,98,1.00,single
566,r_055_21,1,7,125,101,1.00,single
567,r_055_22,18,5,113,94,1.00,single
568,r_055_23,4,5,124,101,1.00,single
569,r_055_24,1,4,117,101,1.00,single
570,r_055_25,1,4,133,92,1.00,single
571,r_056_01,13,3,127,54,1.00,single
572,r_056_02,0,1,120,68,1.00,single
573,r_056_03,1,14,128,61,1.00,single
574,r_056_04,20,0,115,80,0.99,single
575,r_056_05,10,12,119,64,1.00,single
576,r_056_06,6,13,112,81,1.00,single
577,r_056_07,8,12,121,65,1.00,single
578,r_056_08,3,10,123,76,1.00,single
579,r_056_09,14,7,124,62,1.00,single
580,r_056_10,10,10,123,76,1.00,single
581,r_056_11,13,11,110,81,1.00,single
582,r_056_12,10,3,111,70,1.00,single
583,r_056_13,4,5,122,97,1.00,single
584,r_056_14,11,10,109,77,1.00,single
585,r_056_15,0,2,116,69,1.00,single
586,r_056_16,15,3,87,81,1.00,single
587,r_056_17,10,12,104,64,1.00,single
588,r_056_18,3,0,128,44,1.00,single
589,r_056_19,3,2,123,72,1.00,single
590,r_056_20,8,0,119,55,1.00,single
591,r_056_21,12,1,105,96,1.00,single
592,r_056_22,9,6,106,88,1.00,single
593,r_056_23,6,7,112,66,1.00,single
594,r_056_24,3,11,103,87,1.00,single
595,r_056_25,13,8,114,61,1.00,single
596,r_056_26,7,8,96,76,1.00,single
597,r_057_01,0,1,120,69,1.00,single
598,r_057_02,2,5,132,49,1.00,single
599,r_057_03,2,6,116,63,1.00,single
600,r_057_04,6,9,126,74,1.00,single
601,r_057_05,4,4,127,69,1.00,single
602,r_057_06,0,4,120,66,1.00,single
603,r_057_07,0,0,124,59,1.00,single
604,r_058_01,3,7,124,63,1.00,single
605,r_058_02,1,1,115,78,1.00,single
606,r_058_03,0,2,130,75,1.00,single
607,r_058_04,2,0,126,67,1.00,single
608,r_058_05,0,2,130,72,0.99,single
609,r_058_06,0,3,125,85,1.00,single
610,r_058_07,0,4,124,63,1.00,single
611,r_058_08,0,11,122,88,1.00,single
612,r_058_09,12,13,124,68,1.00,single
613,r_058_10,3,2,122,68,1.00,single
614,r_058_11,10,3,120,68,1.00,single
615,r_058_12,1,5,109,96,1.00,single
616,r_058_13,3,3,132,80,1.00,single
617,r_058_14,0,5,131,70,1.00,single
618,r_058_15,7,15,118,65,1.00,single
619,r_058_16,4,9,132,67,1.00,single
620,r_058_17,3,0,117,75,1.00,single
621,r_058_18,5,8,103,87,1.00,single
622,r_058_19,4,2,105,93,1.00,single
623,r_058_20,0,5,122,73,1.00,single
624,r_058_21,6,8,121,66,1.00,single
625,r_058_22,0,5,120,79,1.00,single
626,r_059_01,2,4,122,83,1.00,single
627,r_059_02,2,3,123,69,1.00,single
628,r_059_03,5,9,115,61,1.00,single
629,r_059_04,2,5,122,101,1.00,single
630,r_059_05,3,2,118,62,1.00,single
631,r_059_06,6,0,132,91,1.00,single
632,r_059_07,4,10,134,75,1.00,single
633,r_059_08,5,0,113,85,1.00,single
